"Time","bansos"
"2021-01-01",21
"2021-02-01",6
"2021-03-01",7
"2021-04-01",12
"2021-05-01",7
"2021-06-01",6
"2021-07-01",13
"2021-08-01",9
"2021-09-01",8
"2021-10-01",12
"2021-11-01",8
"2021-12-01",9
"2022-01-01",7
"2022-02-01",17
"2022-03-01",14
"2022-04-01",21
"2022-05-01",8
"2022-06-01",6
"2022-07-01",9
"2022-08-01",13
"2022-09-01",100
"2022-10-01",26
"2022-11-01",28
"2022-12-01",13
"2023-01-01",18
"2023-02-01",17
"2023-03-01",21
"2023-04-01",24
"2023-05-01",23
"2023-06-01",22
"2023-07-01",18
"2023-08-01",38
"2023-09-01",19
"2023-10-01",30
"2023-11-01",31
"2023-12-01",20
"2024-01-01",25
"2024-02-01",31
"2024-03-01",29
"2024-04-01",16
"2024-05-01",16
"2024-06-01",15
"2024-07-01",20
"2024-08-01",18
"2024-09-01",10
"2024-10-01",21
"2024-11-01",22
"2024-12-01",37
"2025-01-01",24
"2025-02-01",37
"2025-03-01",23
"2025-04-01",15
"2025-05-01",28
"2025-06-01",44
"2025-07-01",29
"2025-08-01",22
"2025-09-01",23
"2025-10-01",31
"2025-11-01",44
"2025-12-01",32
"2026-01-01",15
"2026-02-01",31
"2026-03-01",15
"2026-04-01",22
"2026-05-01",40
